City1,City2,Distance
"Charlotte, NC","Salt Lake City, UT",1727.0
"New Orleans, LA","Salt Lake City, UT",1428.0
"Los Angeles, CA","New Orleans, LA",1670.0
"Houston, TX","Salt Lake City, UT",1214.0
"Detroit, MI","Portland, ME",668.0
"Salt Lake City, UT","St. Louis, MO",1156.0
"Minneapolis, MN","Nashville, TN",695.0
"Detroit, MI","Miami, FL",1145.0
"Minneapolis, MN","Palm Springs, CA",1454.0
"Detroit, MI","Sarasota/Bradenton, FL",1022.0
"Boston, MA","Fort Lauderdale, FL",1237.0
"New Orleans, LA","New York, NY",1183.0
"Palm Springs, CA","Seattle, WA",987.0
"Buffalo, NY","Detroit, MI",241.0
"Atlanta, GA","Green Bay, WI",774.0
"Seattle, WA","Tucson, AZ",1216.0
"Cincinnati, OH","Fort Myers, FL",879.0
"Boston, MA","Dallas/Fort Worth, TX",1562.0
"Austin, TX","Boston, MA",1698.0
"Dallas/Fort Worth, TX","Fargo, ND",968.0
"New York, NY","Sarasota/Bradenton, FL",1041.0
"Detroit, MI","Myrtle Beach, SC",636.0
"Charlotte Amalie, VI","New York, NY",1623.0
"Boston, MA","San Francisco, CA",2704.0
"Atlanta, GA","Montrose/Delta, CO",1352.0
"Detroit, MI","Grand Rapids, MI",120.0
"Detroit, MI","Providence, RI",615.0
"Minneapolis, MN","West Palm Beach/Palm Beach, FL",1451.0
"Minneapolis, MN","Tucson, AZ",1298.0
"Hayden, CO","Minneapolis, MN",774.0
"Jackson, WY","Minneapolis, MN",872.0
"Charleston, SC","Detroit, MI",667.0
"Atlanta, GA","Reno, NV",1993.0
"Atlanta, GA","Fayetteville, NC",331.0
"Kalispell, MT","Minneapolis, MN",1026.0
"Billings, MT","Salt Lake City, UT",387.0
"Seattle, WA","Spokane, WA",224.0
"Denver, CO","Los Angeles, CA",862.0
"Cleveland, OH","Salt Lake City, UT",1565.0
"Billings, MT","Minneapolis, MN",748.0
"Los Angeles, CA","San Francisco, CA",337.0
"Anchorage, AK","Atlanta, GA",3417.0
"Detroit, MI","Indianapolis, IN",231.0
"Detroit, MI","Madison, WI",311.0
"Indianapolis, IN","Savannah, GA",596.0
"Detroit, MI","State College, PA",301.0
"Detroit, MI","Syracuse, NY",374.0
"Albany, NY","Detroit, MI",489.0
"Denver, CO","Washington, DC",1452.0
"Denver, CO","Harlingen/San Benito, TX",1023.0
"Denver, CO","Las Vegas, NV",628.0
"Denver, CO","Miami, FL",1709.0
"Austin, TX","Las Vegas, NV",1090.0
"Austin, TX","Denver, CO",775.0
"Denver, CO","Ontario, CA",819.0
"Denver, CO","St. Louis, MO",770.0
"Denver, CO","Portland, OR",991.0
"Buffalo, NY","Orlando, FL",1011.0
"Buffalo, NY","Fort Myers, FL",1144.0
"Denver, CO","Fort Myers, FL",1607.0
"Portland, ME","Tampa, FL",1277.0
"Charlotte, NC","Philadelphia, PA",449.0
"Charlotte, NC","Trenton, NJ",484.0
"Las Vegas, NV","Santa Ana, CA",226.0
"Houston, TX","Las Vegas, NV",1235.0
"Newark, NJ","Orlando, FL",937.0
"Milwaukee, WI","Orlando, FL",1066.0
"Fort Myers, FL","Milwaukee, WI",1183.0
"Fort Myers, FL","Orlando, FL",133.0
"Orlando, FL","Syracuse, NY",1053.0
"Fort Myers, FL","Syracuse, NY",1186.0
"Newark, NJ","West Palm Beach/Palm Beach, FL",1023.0
"Colorado Springs, CO","Las Vegas, NV",604.0
"Las Vegas, NV","San Diego, CA",258.0
"Las Vegas, NV","Philadelphia, PA",2176.0
"Chicago, IL","San Juan, PR",2057.0
